SESSION|QS4/700 located at connection[0] session[0]|user=QNOVATE8
SELFIELD|txtI2-LOW=/SPE/CL_INB_ACTION_INFO*
TABLE|WBCROSSGT
TITLE|Data Browser: Table WBCROSSGT Select Entries        137
SBAR|
ALV|rows=137|cols=11
HDR|OTYPE	NAME	INCLUDE	DIRECT	INDIRECT	COMPONENT	ISHASH	UDATE	UZEIT	UNAME	START_FULLNAME_TAG	
ROW45|DA	/SPE/CL_INB_ACTION_INFO\ME:GET_INFO\DA:E_ACTION1	MV50AF0B_RETURN_EKES_FUELLEN	X				17.12.2023	00:00:27	BATCH_USER	TY	
ROW46|DA	/SPE/CL_INB_ACTION_INFO\ME:GET_INFO\DA:E_ACTION1	MV50AF0D	X				17.12.2023	00:00:27	BATCH_USER	TY	
ROW47|DA	/SPE/CL_INB_ACTION_INFO\ME:GET_INFO\DA:E_ACTION2	FV50XF0B_BELEG_SICHERN	X				17.12.2023	00:00:27	BATCH_USER	TY	
ROW48|DA	/SPE/CL_INB_ACTION_INFO\ME:GET_INFO\DA:E_ACTION2	LMBWLU04	X				20.06.2025	00:00:05	BATCH_USER	TY	
ROW49|DA	/SPE/CL_INB_ACTION_INFO\ME:GET_INFO\DA:E_ACTION2	MV50AF0B_RETURN_EKES_FUELLEN	X				17.12.2023	00:00:27	BATCH_USER	TY	
ROW50|DA	/SPE/CL_INB_ACTION_INFO\ME:GET_INFO\DA:E_ACTION3	FV50XF0B_BELEG_SICHERN	X				17.12.2023	00:00:27	BATCH_USER	TY	
ROW51|DA	/SPE/CL_INB_ACTION_INFO\ME:GET_INFO\DA:E_ACTION3	MV50AF0B_RETURN_EKES_FUELLEN	X				17.12.2023	00:00:27	BATCH_USER	TY	
ROW52|DA	/SPE/CL_INB_ACTION_INFO\ME:GET_INFO\DA:E_DIALOG	FV50XF0B_BELEG_SICHERN	X				17.12.2023	00:00:27	BATCH_USER	TY	
ROW53|DA	/SPE/CL_INB_ACTION_INFO\ME:GET_INFO\DA:E_DIALOG	LMBWLU04	X				20.06.2025	00:00:05	BATCH_USER	TY	
ROW54|DA	/SPE/CL_INB_ACTION_INFO\ME:GET_INFO\DA:E_DIALOG	LMBWLU14	X				20.06.2025	00:00:05	BATCH_USER	TY	
ROW55|DA	/SPE/CL_INB_ACTION_INFO\ME:GET_INFO\DA:E_DIALOG	MV50AF0B_RETURN_EKES_FUELLEN	X				17.12.2023	00:00:27	BATCH_USER	TY	
ROW56|DA	/SPE/CL_INB_ACTION_INFO\ME:GET_INFO\DA:E_DIALOG	MV50AF0D	X				17.12.2023	00:00:27	BATCH_USER	TY	
ROW57|DA	/SPE/CL_INB_ACTION_INFO\ME:GET_INFO\DA:E_SPE_ACTION	/SPE/V50SF10	X				20.01.2024	00:00:17	BATCH_USER	TY	
ROW58|DA	/SPE/CL_INB_ACTION_INFO\ME:GET_INFO\DA:E_SPE_ACTION	LV50LF17	X				20.01.2024	00:00:17	BATCH_USER	TY	
ROW59|DA	/SPE/CL_INB_ACTION_INFO\ME:GET_INFO\DA:E_SPE_ACTION	LV50SDRE	X				20.01.2024	00:00:17	BATCH_USER	TY	
ROW60|DA	/SPE/CL_INB_ACTION_INFO\ME:GET_INFO\DA:E_SPE_ACTION	LV50SF08	X				20.01.2024	00:00:17	BATCH_USER	TY	
ROW61|DA	/SPE/CL_INB_ACTION_INFO\ME:GET_MESSAGES_READ_INDICATOR\DA:E_MESSAGES_READ	MV50AF0B_BELEG_LESEN_BUFFERED	X				17.12.2023	00:00:27	BATCH_USER	TY	
ROW62|DA	/SPE/CL_INB_ACTION_INFO\ME:GET_OBJECT\DA:I_NAME	FV50XF0B_BELEG_SICHERN	X				17.12.2023	00:00:27	BATCH_USER	TY	
ROW63|DA	/SPE/CL_INB_ACTION_INFO\ME:GET_OBJECT\DA:I_NAME	FV50XF0B_LIEFERUNGEN_BUCHEN	X				17.12.2023	00:00:27	BATCH_USER	TY	
ROW64|DA	/SPE/CL_INB_ACTION_INFO\ME:GET_OBJECT\DA:I_NAME	FV50XF0B_LIEFERUNG_RENAME	X				17.12.2023	00:00:27	BATCH_USER	TY	
ROW65|DA	/SPE/CL_INB_ACTION_INFO\ME:GET_OBJECT\DA:I_NAME	FV50XF0B_NOT_SUPPORTED_SCENARI	X				17.12.2023	00:00:27	BATCH_USER	TY	
ROW66|DA	/SPE/CL_INB_ACTION_INFO\ME:GET_OBJECT\DA:I_NAME	FV50XFLP_LIPS_FUELLEN_LVS	X				20.01.2024	00:00:17	BATCH_USER	TY	
