SESSION|QS4/700 located at connection[0] session[0]|user=QNOVATE8
SELFIELD|txtI1-LOW=CL_*OUTB_DELIV*
SELFIELD|txtI2-LOW=A
TABLE|REPOSRC
TITLE|Data Browser: Table REPOSRC Select Entries         56
SBAR|
ALV|rows=56|cols=34
HDR|PROGNAME	R3STATE	SQLX	EDTX	DBNA	CLAS	TYPE	OCCURS	SUBC	APPL	SECU	CNAM	CDAT	VERN	LEVL	RSTAT	RMAND	RLOAD	UNAM	UDAT	UTIME	DATALG	VARCL	DBAPL	FIXPT	SSET	SDATE	STIME	IDATE	ITIME	LDBNAME	UCCHECK	MAXLINELN	DATA	
ROW26|CL_GOAL_OUTB_DELIVERY_HEAD====CM002	A			D$				I	S		SAP	06.06.2015	000001			001		SAP	06.06.2015	15:14:09	542	X	S	X		06.06.2015	151409	06.06.2015	151409	D$S	X	0	FF00460000121F9D02B46F353D090351707E4A6F9E3418E3C5444F5EFC15A6D2F2614090A2C68B7F1DE7BDB529052ADCB4BB9349E96EBBCB65DEBC377D146C30	
ROW27|CL_GOAL_OUTB_DELIVERY_HEAD====CM003	A			D$				I	S		SAP	06.06.2015	000001			001		SAP	06.06.2015	15:14:09	424	X	S	X		06.06.2015	151409	06.06.2015	151409	D$S	X	0	FF001C0000121F9D02DE9ED9F4240C8441787E4A6F7E24182F5E8C21415A9004280122F144F80AA00884A28917FF3A3EBB152A18E251A09BC996DDB72C97D999	
ROW28|CL_GOAL_OUTB_DELIVERY_HEAD====CO	A			D$				I	S		SAP	06.06.2015	000001			001		SAP	06.06.2015	15:14:09	46	X	S	X		06.06.2015	151409	06.06.2015	151409	D$S	X	0	FF00020000121F9D027F0CFF190A188A18F2194A18521992C1640A8302433194970994C963D0038A8CC261090100	
ROW29|CL_GOAL_OUTB_DELIVERY_HEAD====CP	A		X	D$				K	S		SAP	06.06.2015	000001			001		SAP	06.06.2015	15:14:09	402	X	S	X		06.06.2015	151409	06.06.2015	151409	D$S	X	0	FF00320000121F9D026DD7EC561A06A2203C8F127A2308FA065ED41F54100AA28257A2498B81D88424157CFA384994AC121A0829EDEE0E1F9BDD6E4B089C33E7	
ROW30|CL_GOAL_OUTB_DELIVERY_HEAD====CT	A			D$				I	S		SAP	06.06.2015	000001			001		SAP	06.06.2015	15:14:09	219		S	X		06.06.2015	151409	06.06.2015	151409	D$S	X	0	FF00060000121F9D02B79D6A5941180682F329C58BE0C17FA80F54100AA28227A9496A0B1AA50FA45FAFB39B430FE2D91ECA90CD76769B1C6627786382115704	
ROW31|CL_GOAL_OUTB_DELIVERY_HEAD====CU	A			D$				I	S		SAP	06.06.2015	000001			001		SAP	06.06.2015	15:14:09	306	X	S	X		06.06.2015	151409	06.06.2015	151409	D$S	X	0	FF001C0000121F9D02B46776BB090241143E8FC213F41D2C584BFA4363B5895744A9B626559A4A6F7D75FA2DDBD8444B48BC12987C591CCE2E70319CD95D54A9	
ROW32|CL_GOAL_OUTB_DELIVERY_ITEM====CCDEF	A			D$				I	S		SAP	06.06.2015	000001			001		SAP	06.06.2015	15:14:09	187	X	S	X		06.06.2015	151409	06.06.2015	151409	D$S	X	0	FF00080000121F9D02B79D325841180682E87C4AF0A4E24F85B4624093D254215F5F67B7953D498F1509C3D2CDCCA63DBCA59871C681E5F04441CFE7841B227B	
ROW33|CL_GOAL_OUTB_DELIVERY_ITEM====CCIMP	A			D$				I	S		SAP	06.06.2015	000001			001		SAP	06.06.2015	15:14:09	174	X	S	X		06.06.2015	151409	06.06.2015	151409	D$S	X	0	FF00080000121F9D02B44F2D2B0CC240703E65E9B1F4A742542A44534C7AE8D7DBD94D8B1E84DC5A5AC230C9B80F1166C48A334EA4E08E849E77C61523B59091	
ROW34|CL_GOAL_OUTB_DELIVERY_ITEM====CCMAC	A			D$				I	S		SAP	06.06.2015	000001			001		SAP	06.06.2015	15:14:09	144	X	S	X		06.06.2015	151409	06.06.2015	151409	D$S	X	0	FF00060000121F9D02A73D325841208681E87C4AF0E85F956E45C136E2D6C37EFDFA5AC5BD085E1729C390C934490FA355471DA0E9A159895A75D6056DD071EF	
ROW35|CL_GOAL_OUTB_DELIVERY_ITEM====CI	A			D$				I	S		SAP	06.06.2015	000001			001		SAP	06.06.2015	15:14:09	109	X	S	X		06.06.2015	151409	06.06.2015	151409	D$S	X	0	FF00060000121F9D028CE13F430143114326431943224309432A83024331904C06B23319F219F218F48022A370F8C2FF04558CC2E10C21F15FC250092C075281	
