"STO","Supply","SupplyName","Recv","RecvClass","VSTEL","VstelClass","Route","VTWEG","Mat","Unit","Qty","DelivStarted","Issued","Open","Due","Created"
"5600083393/00001","5370","BR TIKANI SC TR RSD","8010","A2","5370","A2","E80495","99","15000114","TO","10","0","0","10","30.07.2026","30.07.2026"
"5600083394/00001","5370","BR TIKANI SC TR RSD","8010","A2","5370","A2","E80495","99","15000114","TO","10","0","0","10","30.07.2026","30.07.2026"
"5600083395/00001","5370","BR TIKANI SC TR RSD","8010","A2","5370","A2","E80495","99","15000445","TO","10","0","0","10","30.07.2026","30.07.2026"
"5600083479/00010","6222","UP KUBERPUR SC TR RSD","4577","A2","6222","A2","E64395","99","15000117","TO","5000","131.8","131.8","4868.2","31.07.2026","31.07.2026"
"5600083498/00010","6967","RJ BIKANER-2 TR","6120","A2","6967","A2","E60385","99","15000266","TO","45","0","0","45","31.07.2026","31.07.2026"
"5600083682/00010","3747","BR SAMASTIPUR TR RSD SHREE CEMENT L","3746","A2","3747","A2","E94098","99","15000445","TO","765.95","0","0","765.95","31.07.2026","31.07.2026"
"5600083684/00010","6842","DL SHAHADARA TR","6837","A2","6842","A2","E97859","99","15000114","TO","100","25","25","75","31.07.2026","31.07.2026"
"5600083709/00010","8265","UP  MATHURA RSD","8264","A2","8265","A2","E84161","99","15000456","TO","5000","181.7","181.7","4818.3","01.08.2026","01.08.2026"
"5600083801/00010","8265","UP  MATHURA RSD","8264","A2","8265","A2","E84161","99","15000456","TO","5000","0","0","5000","02.08.2026","02.08.2026"
"5600083803/00010","8265","UP  MATHURA RSD","8264","A2","8265","A2","E84161","99","15000443","TO","5000","250.1","250.1","4749.9","02.08.2026","02.08.2026"
"5600083806/00010","8265","UP  MATHURA RSD","8264","A2","8265","A2","E84161","99","15000264","TO","5000","122.7","122.7","4877.3","02.08.2026","02.08.2026"
"5600083817/00010","8265","UP  MATHURA RSD","8264","A2","8265","A2","E84161","99","15000069","TO","5000","30.1","30","4969.9","02.08.2026","02.08.2026"
"5600083818/00010","8265","UP  MATHURA RSD","8264","A2","8265","A2","E84161","99","15000114","TO","5000","282.4","282.4","4717.6","02.08.2026","02.08.2026"
"5600083819/00010","8265","UP  MATHURA RSD","8264","A2","8265","A2","E84161","99","15000262","TO","5000","289.5","289.5","4710.5","02.08.2026","02.08.2026"
"5600083820/00010","8265","UP  MATHURA RSD","8264","A2","8265","A2","E84161","99","15000266","TO","5000","222","222","4778","02.08.2026","02.08.2026"
"5600083821/00010","8265","UP  MATHURA RSD","8264","A2","8265","A2","E84161","99","15000442","TO","5000","148.1","148.1","4851.9","02.08.2026","02.08.2026"
"5600083825/00010","8265","UP  MATHURA RSD","8264","A2","8265","A2","E84161","99","15000444","TO","5000","5000","80","0","02.08.2026","02.08.2026"
"5600083843/00010","3854","PB KHARAR TR","6113","A2","3854","A2","E98253","99","15000114","TO","43","0","0","43","03.08.2026","03.08.2026"
"5600083853/00010","5498","KA BENKANHALLI SC TR YARD","4370","A2","5498","A2","E93992","99","15000262","TO","35","35","35","0","30.12.2026","03.08.2026"
"5600084094/00001","8314","WB BINNAGURI TR RSD","8313","A2","8314","A2","E98354","99","15000114","TO","772","715","615","57","07.08.2026","07.08.2026"
"5600084099/00001","8319","WB SILIGURI TR RSD","8318","A2","8319","A2","E98411","99","15000114","TO","609","609","360","0","07.08.2026","07.08.2026"
"5600084159/00010","5309","UP BAREILLY SC NT RSD","4053","A2","5309","A2","S47135","99","15000177","TO","500","100","100","400","09.08.2026","09.08.2026"
"5600084167/00001","8317","WB COOCHBEHARE TR RSD","8316","A2","8317","A2","E98331","99","15000114","TO","512","35","35","477","10.08.2026","10.08.2026"
"5600084168/00001","8317","WB COOCHBEHARE TR RSD","8316","A2","8317","A2","E98331","99","15000117","TO","704","175","175","529","10.08.2026","10.08.2026"
"5600084171/00010","8261","BR CHHAPRA TR RSD","8260","A2","8261","A2","E84829","99","15000114","TO","120.7","0","0","120.7","10.08.2026","10.08.2026"
"5600084172/00010","8261","BR CHHAPRA TR RSD","8260","A2","8261","A2","E84829","99","15000262","TO","362.5","0","0","362.5","10.08.2026","10.08.2026"
"5600084173/00010","8261","BR CHHAPRA TR RSD","8260","A2","8261","A2","E84829","99","15000354","TO","376.4","0","0","376.4","10.08.2026","10.08.2026"
"5600084174/00010","8261","BR CHHAPRA TR RSD","8260","A2","8261","A2","E84829","99","15000445","TO","336.55","0","0","336.55","10.08.2026","10.08.2026"
"5600084175/00010","5373","BR SIWAN SC TR RSD","4219","A2","5373","A2","S47850","99","15000114","TO","264.4","0","0","264.4","10.08.2026","10.08.2026"
"5600084176/00010","5373","BR SIWAN SC TR RSD","4219","A2","5373","A2","S47850","99","15000445","TO","109.4","0","0","109.4","10.08.2026","10.08.2026"
"5600084186/00001","8069","WB MALDA TR RSD SHREE CEMENT LIMITE","8068","A2","8069","A2","E07410","99","15000115","TO","88","0","0","88","10.08.2026","10.08.2026"
"5600084187/00001","8069","WB MALDA TR RSD SHREE CEMENT LIMITE","8068","A2","8069","A2","E07410","99","15000118","TO","385","0","0","385","10.08.2026","10.08.2026"
"5600084188/00001","8069","WB MALDA TR RSD SHREE CEMENT LIMITE","8068","A2","8069","A2","E07410","99","15000280","TO","245","0","0","245","10.08.2026","10.08.2026"
"5600084189/00001","8069","WB MALDA TR RSD SHREE CEMENT LIMITE","8068","A2","8069","A2","E07410","99","15000289","TO","294","0","0","294","10.08.2026","10.08.2026"
"5600084190/00001","8069","WB MALDA TR RSD SHREE CEMENT LIMITE","8068","A2","8069","A2","E07410","99","15000459","TO","260","0","0","260","10.08.2026","10.08.2026"
"5600084259/00010","5002","HR AMBALA CANTT SC TR","1022","A1","5002","A2","","99","15000114","TO","500","0","0","500","31.08.2026","25.08.2026"
"5600084291/00010","5309","UP BAREILLY SC NT RSD","4053","A2","5309","A2","S47135","99","15000177","TO","10","10","10","0","04.09.2026","04.09.2026"
