MANDT	FKNUM	VBTYP	FKART	STERM	PRSDT	BUDAT	EXTI1	EXTI2	STBER	STFRE	STABR	ERNAM	ERDAT	ERZET	AENAM	AEDAT	AEZET
700	1600698947	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	00:51:27			00:00:00
700	1600698948	a	Z006		29.03.2026				C			SCLADMIN	31.03.2026	00:54:51			00:00:00
700	1600698949	a	Z006		29.03.2026				C			SCLADMIN	31.03.2026	00:58:00			00:00:00
700	1600698950	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	01:01:18			00:00:00
700	1600698951	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	01:04:52			00:00:00
700	1600698952	a	Z006		29.03.2026				C			SCLADMIN	31.03.2026	01:04:53			00:00:00
700	1600698954	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	01:08:12			00:00:00
700	1600698955	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	01:08:13			00:00:00
700	1600698956	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	01:08:13			00:00:00
700	1600698957	a	Z006		27.03.2026				C			SCLADMIN	31.03.2026	01:08:13			00:00:00
700	1600698958	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	01:10:52			00:00:00
700	1600698959	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	01:11:47			00:00:00
700	1600698960	a	Z006		29.03.2026				C			SCLADMIN	31.03.2026	01:11:47			00:00:00
700	1600698961	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	01:11:48			00:00:00
700	1600698962	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	01:15:12			00:00:00
700	1600698963	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	01:15:12			00:00:00
700	1600698964	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	01:15:13			00:00:00
700	1600698965	a	Z006		29.03.2026				C			SCLADMIN	31.03.2026	01:15:14			00:00:00
700	1600698966	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	01:16:02			00:00:00
700	1600698967	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	01:18:32			00:00:00
700	1600698968	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	01:18:32			00:00:00
700	1600698970	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	01:18:32			00:00:00
700	1600698971	a	Z006		29.03.2026				C			SCLADMIN	31.03.2026	01:18:33			00:00:00
700	1600698972	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	01:18:34			00:00:00
700	1600698973	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	01:19:17			00:00:00
700	1600698974	a	Z006		29.03.2026				C			SCLADMIN	31.03.2026	01:22:09			00:00:00
700	1600698975	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	01:25:37			00:00:00
700	1600698976	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	01:25:37			00:00:00
700	1600698977	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	01:27:42			00:00:00
700	1600698978	a	Z006		29.03.2026				C			SCLADMIN	31.03.2026	01:28:58			00:00:00
700	1600698979	a	Z006		27.03.2026				C			SCLADMIN	31.03.2026	01:28:59			00:00:00
700	1600698980	a	Z006		27.03.2026				C			SCLADMIN	31.03.2026	01:32:17			00:00:00
700	1600698982	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	01:32:17			00:00:00
700	1600698983	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	01:32:18			00:00:00
700	1600698985	a	Z006		28.03.2026				C			SCLADMIN	31.03.2026	01:32:20			00:00:00
700	1600698986	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	01:32:31			00:00:00
700	1600698987	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	01:34:32			00:00:00
700	1600698988	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	01:35:37			00:00:00
700	1600698989	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	01:35:37			00:00:00
700	1600698990	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	01:35:39			00:00:00
700	1600698991	a	Z006		29.03.2026				C			SCLADMIN	31.03.2026	01:35:47			00:00:00
700	1600698992	a	Z006		29.03.2026				C			SCLADMIN	31.03.2026	01:39:02			00:00:00
700	1600698993	a	Z006		27.03.2026				C			SCLADMIN	31.03.2026	01:39:04			00:00:00
700	1600698994	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	01:42:27			00:00:00
700	1600698995	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	01:45:53			00:00:00
700	1600698996	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	01:45:53			00:00:00
700	1600698997	a	Z006		29.03.2026				C			SCLADMIN	31.03.2026	01:46:10			00:00:00
700	1600698998	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	01:48:12			00:00:00
700	1600698999	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	01:49:22			00:00:00
700	1600699000	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	01:49:23			00:00:00
700	1600699002	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	01:49:24			00:00:00
700	1600699003	a	Z006		29.03.2026				C			SCLADMIN	31.03.2026	01:49:24			00:00:00
700	1600699004	a	Z006		29.03.2026				C			SCLADMIN	31.03.2026	01:49:24			00:00:00
700	1600699005	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	01:49:24			00:00:00
700	1600699006	a	Z006		29.03.2026				C			SCLADMIN	31.03.2026	01:49:28			00:00:00
700	1600699007	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	01:50:07			00:00:00
700	1600699010	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	01:56:27			00:00:00
700	1600699011	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	02:00:08			00:00:00
700	1600699012	a	Z006		29.03.2026				C			SCLADMIN	31.03.2026	02:03:19			00:00:00
700	1600699013	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	02:03:22			00:00:00
700	1600699014	a	Z006		29.03.2026				C			SCLADMIN	31.03.2026	02:03:22			00:00:00
700	1600699015	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	02:03:24			00:00:00
700	1600699016	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	02:06:47			00:00:00
700	1600699017	a	Z006		20.03.2026				C			SCLADMIN	31.03.2026	02:06:49			00:00:00
700	1600699019	a	Z006		29.03.2026				C			SCLADMIN	31.03.2026	02:06:50			00:00:00
700	1600699020	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	02:06:51			00:00:00
700	1600699021	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	02:13:57			00:00:00
700	1600699022	a	Z006		29.03.2026				C			SCLADMIN	31.03.2026	02:13:58			00:00:00
700	1600699023	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	02:14:00			00:00:00
700	1600699024	a	Z006		29.03.2026				C			SCLADMIN	31.03.2026	02:14:03			00:00:00
700	1600699025	a	Z006		29.03.2026				C			SCLADMIN	31.03.2026	02:15:47			00:00:00
700	1600699027	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	02:17:42			00:00:00
700	1600699028	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	02:17:44			00:00:00
700	1600699029	a	Z006		28.03.2026				C			SCLADMIN	31.03.2026	02:21:23			00:00:00
700	1600699030	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	02:21:24			00:00:00
700	1600699031	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	02:24:59			00:00:00
700	1600699032	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	02:28:43			00:00:00
