SOrg. | DChl | Dv | SOff. | Name | Name | Name | Description
1000 | 10 | 10 | 1103 | Shree Cement​ Ltd | Trade | Cement​ | HR_AMBALA_B
1000 | 10 | 10 | 1104 | Shree Cement​ Ltd | Trade | Cement​ | HR_AMBALA_RC
1000 | 10 | 10 | 1105 | Shree Cement​ Ltd | Trade | Cement​ | HR_BHIWANI_SC
1000 | 10 | 10 | 1106 | Shree Cement​ Ltd | Trade | Cement​ | HR_BHIWANI_B
1000 | 10 | 10 | 1107 | Shree Cement​ Ltd | Trade | Cement​ | HR_BHIWANI_RC
1000 | 10 | 10 | 1108 | Shree Cement​ Ltd | Trade | Cement​ | HR_FARIDABAD_SC
1000 | 10 | 10 | 1109 | Shree Cement​ Ltd | Trade | Cement​ | HR_FARIDABAD_B
1000 | 10 | 10 | 1110 | Shree Cement​ Ltd | Trade | Cement​ | HR_FARIDABAD_RC
1000 | 10 | 10 | 1111 | Shree Cement​ Ltd | Trade | Cement​ | HR_GURGAON_SC
1000 | 10 | 10 | 1112 | Shree Cement​ Ltd | Trade | Cement​ | RJ_GURGAON_SC
1000 | 10 | 10 | 1113 | Shree Cement​ Ltd | Trade | Cement​ | HR_GURGAON_B
1000 | 10 | 10 | 1114 | Shree Cement​ Ltd | Trade | Cement​ | HR_GURGAON_RC
1000 | 10 | 10 | 1115 | Shree Cement​ Ltd | Trade | Cement​ | HR_HISSAR_SC
1000 | 10 | 10 | 1116 | Shree Cement​ Ltd | Trade | Cement​ | HR_HISSAR_B
1000 | 10 | 10 | 1117 | Shree Cement​ Ltd | Trade | Cement​ | HR_HISSAR_RC
1000 | 10 | 10 | 1118 | Shree Cement​ Ltd | Trade | Cement​ | HR_JHAJJAR_SC
1000 | 10 | 10 | 1119 | Shree Cement​ Ltd | Trade | Cement​ | HR_JHAJJAR_B
1000 | 10 | 10 | 1120 | Shree Cement​ Ltd | Trade | Cement​ | HR_JHAJJAR_RC
1000 | 10 | 10 | 1121 | Shree Cement​ Ltd | Trade | Cement​ | HR_JIND_SC
1000 | 10 | 10 | 1122 | Shree Cement​ Ltd | Trade | Cement​ | HR_JIND_B
1000 | 10 | 10 | 1123 | Shree Cement​ Ltd | Trade | Cement​ | HR_JIND_RC
1000 | 10 | 10 | 1124 | Shree Cement​ Ltd | Trade | Cement​ | HR_KAITHAL_SC
1000 | 10 | 10 | 1125 | Shree Cement​ Ltd | Trade | Cement​ | HR_KAITHAL_B
1000 | 10 | 10 | 1126 | Shree Cement​ Ltd | Trade | Cement​ | HR_KAITHAL_RC
1000 | 10 | 10 | 1127 | Shree Cement​ Ltd | Trade | Cement​ | HR_KARNAL_SC
1000 | 10 | 10 | 1128 | Shree Cement​ Ltd | Trade | Cement​ | HR_KARNAL_B
1000 | 10 | 10 | 1129 | Shree Cement​ Ltd | Trade | Cement​ | HR_KARNAL_RC
1000 | 10 | 10 | 1130 | Shree Cement​ Ltd | Trade | Cement​ | HR_KURUKSHATRA_SC
1000 | 10 | 10 | 1131 | Shree Cement​ Ltd | Trade | Cement​ | HR_KURUKSHATRA_B
1000 | 10 | 10 | 1132 | Shree Cement​ Ltd | Trade | Cement​ | HR_KURUKSHATRA_RC
1000 | 10 | 10 | 1133 | Shree Cement​ Ltd | Trade | Cement​ | HR_MAHENDRAGARH_SC
1000 | 10 | 10 | 1134 | Shree Cement​ Ltd | Trade | Cement​ | HR_MAHENDRAGARH_B
1000 | 10 | 10 | 1135 | Shree Cement​ Ltd | Trade | Cement​ | HR_MAHENDRAGARH_RC
1000 | 10 | 10 | 1136 | Shree Cement​ Ltd | Trade | Cement​ | HR_NARNAUL_SC
1000 | 10 | 10 | 1137 | Shree Cement​ Ltd | Trade | Cement​ | HR_NARNAUL_B
1000 | 10 | 10 | 1138 | Shree Cement​ Ltd | Trade | Cement​ | HR_NARNAUL_RC
1000 | 10 | 10 | 1139 | Shree Cement​ Ltd | Trade | Cement​ | HR_PANCHKULA_SC
1000 | 10 | 10 | 1140 | Shree Cement​ Ltd | Trade | Cement​ | HR_PANCHKULA_B
1000 | 10 | 10 | 1141 | Shree Cement​ Ltd | Trade | Cement​ | HR_PANCHKULA_RC
1000 | 10 | 10 | 1142 | Shree Cement​ Ltd | Trade | Cement​ | HR_PANIPAT_SC
1000 | 10 | 10 | 1143 | Shree Cement​ Ltd | Trade | Cement​ | HR_PANIPAT_B
1000 | 10 | 10 | 1144 | Shree Cement​ Ltd | Trade | Cement​ | HR_PANIPAT_RC
1000 | 10 | 10 | 1145 | Shree Cement​ Ltd | Trade | Cement​ | HR_REWARI_SC
1000 | 10 | 10 | 1146 | Shree Cement​ Ltd | Trade | Cement​ | HR_REWARI_B
1000 | 10 | 10 | 1147 | Shree Cement​ Ltd | Trade | Cement​ | HR_REWARI_RC
1000 | 10 | 10 | 1148 | Shree Cement​ Ltd | Trade | Cement​ | HR_ROHTAK_SC
1000 | 10 | 10 | 1149 | Shree Cement​ Ltd | Trade | Cement​ | HR_ROHTAK_B
1000 | 10 | 10 | 1150 | Shree Cement​ Ltd | Trade | Cement​ | HR_ROHTAK_RC
1000 | 10 | 10 | 1151 | Shree Cement​ Ltd | Trade | Cement​ | HR_SIRSA_SC
1000 | 10 | 10 | 1152 | Shree Cement​ Ltd | Trade | Cement​ | HR_SIRSA_B
1000 | 10 | 10 | 1153 | Shree Cement​ Ltd | Trade | Cement​ | HR_SIRSA_RC
1000 | 10 | 10 | 1154 | Shree Cement​ Ltd | Trade | Cement​ | HR_SONIPAT_SC
1000 | 10 | 10 | 1155 | Shree Cement​ Ltd | Trade | Cement​ | HR_SONIPAT_B
1000 | 10 | 10 | 1156 | Shree Cement​ Ltd | Trade | Cement​ | HR_SONIPAT_RC
1000 | 10 | 10 | 1157 | Shree Cement​ Ltd | Trade | Cement​ | HR_YAMUNA NAGAR_SC
1000 | 10 | 10 | 1158 | Shree Cement​ Ltd | Trade | Cement​ | HR_YAMUNA NAGAR_B
1000 | 10 | 10 | 1159 | Shree Cement​ Ltd | Trade | Cement​ | HR_YAMUNA NAGAR_RC
1000 | 10 | 10 | 1160 | Shree Cement​ Ltd | Trade | Cement​ | HR_FATEHABAD_SC
1000 | 10 | 10 | 1161 | Shree Cement​ Ltd | Trade | Cement​ | HR_FATEHABAD_B
1000 | 10 | 10 | 1162 | Shree Cement​ Ltd | Trade | Cement​ | HR_FATEHABAD_RC
1000 | 10 | 10 | 1163 | Shree Cement​ Ltd | Trade | Cement​ | HR_BAHADURGARH_SC
1000 | 10 | 10 | 1164 | Shree Cement​ Ltd | Trade | Cement​ | HR_BAHADURGARH_B
1000 | 10 | 10 | 1165 | Shree Cement​ Ltd | Trade | Cement​ | HR_BAHADURGARH_RC
1000 | 10 | 10 | 1166 | Shree Cement​ Ltd | Trade | Cement​ | HR_SAHUPURA_SC
1000 | 10 | 10 | 1167 | Shree Cement​ Ltd | Trade | Cement​ | RJ_SAHUPURA_SC
1000 | 10 | 10 | 1168 | Shree Cement​ Ltd | Trade | Cement​ | HR_MEWAT_B
1000 | 10 | 10 | 1169 | Shree Cement​ Ltd | Trade | Cement​ | HR_MEWAT_RC
1000 | 10 | 10 | 1170 | Shree Cement​ Ltd | Trade | Cement​ | HR_FIROZPUR ZIRKA_RC
1000 | 10 | 10 | 1171 | Shree Cement​ Ltd | Trade | Cement​ | HR_TOHANA_SC
1000 | 10 | 10 | 1172 | Shree Cement​ Ltd | Trade | Cement​ | HR_TOHANA_RC
1000 | 10 | 10 | 1173 | Shree Cement​ Ltd | Trade | Cement​ | HR_PALWAL_B
1000 | 10 | 10 | 1174 | Shree Cement​ Ltd | Trade | Cement​ | HR_PALWAL_RC
1000 | 10 | 10 | 1175 | Shree Cement​ Ltd | Trade | Cement​ | HR_SOHNA (GURGAON)_S
