Sales Organization | Ref.dist.channel-Cust/Material | Plant | Name | Name | Name 1
1000 | 10 | 3807 | Shree Cement​ Ltd | Trade | MH SOLAPUR TR
1000 | 10 | 3809 | Shree Cement​ Ltd | Trade | HR TOHANA BG TR
1000 | 10 | 3810 | Shree Cement​ Ltd | Trade | MP BALAGHAT TR [VD]
1000 | 10 | 3811 | Shree Cement​ Ltd | Trade | HP BHOTA TR
1000 | 10 | 3812 | Shree Cement​ Ltd | Trade | RJ CHHOKARWARA TR
1000 | 10 | 3813 | Shree Cement​ Ltd | Trade | RJ BEAWAR BTST
1000 | 10 | 3814 | Shree Cement​ Ltd | Trade | RJ SURATGARH BTST
1000 | 10 | 3815 | Shree Cement​ Ltd | Trade | RJ PINDWARA TR
1000 | 10 | 3816 | Shree Cement​ Ltd | Trade | KA RAMANAGARA TR
1000 | 10 | 3817 | Shree Cement​ Ltd | Trade | WB SURJAPUR TR
1000 | 10 | 3818 | Shree Cement​ Ltd | Trade | WB SURJAPUR TR RSD
1000 | 10 | 3819 | Shree Cement​ Ltd | Trade | MH JALGAON TR
1000 | 10 | 3820 | Shree Cement​ Ltd | Trade | MH NAGPUR TR [VD]
1000 | 10 | 3821 | Shree Cement​ Ltd | Trade | WB KALIGHAT TR
1000 | 10 | 3822 | Shree Cement​ Ltd | Trade | WB KALIGHAT TR RSD
1000 | 10 | 3823 | Shree Cement​ Ltd | Trade | MH CHALISGAON TR
1000 | 10 | 3824 | Shree Cement​ Ltd | Trade | UP SC PHEPHANA TR RSD
1000 | 10 | 3825 | Shree Cement​ Ltd | Trade | UP BC PHEPHANA TR RSD
1000 | 10 | 3826 | Shree Cement​ Ltd | Trade | DL BATLA HOUSE TR
1000 | 10 | 3829 | Shree Cement​ Ltd | Trade | RJ KHUSHKHERA BTST
1000 | 10 | 3830 | Shree Cement​ Ltd | Trade | DL ADARSH NAGAR TR RSD
1000 | 10 | 3831 | Shree Cement​ Ltd | Trade | MP GUNA SC TR RSD
1000 | 10 | 3832 | Shree Cement​ Ltd | Trade | MP GUNA BG TR RSD
1000 | 10 | 3833 | Shree Cement​ Ltd | Trade | HR YAMUNANAGAR RSD
1000 | 10 | 3834 | Shree Cement​ Ltd | Trade | GJ PATAN TR
1000 | 10 | 3835 | Shree Cement​ Ltd | Trade | HR MAHENDRAGARH TR
1000 | 10 | 3836 | Shree Cement​ Ltd | Trade | GJ IDAR TR
1000 | 10 | 3837 | Shree Cement​ Ltd | Trade | MH WAI TR
1000 | 10 | 3838 | Shree Cement​ Ltd | Trade | GJ MORBI TR
1000 | 10 | 3839 | Shree Cement​ Ltd | Trade | RJ RNCU BTST
1000 | 10 | 3840 | Shree Cement​ Ltd | Trade | MH CWC- KALAMBOLI TR
1000 | 10 | 3841 | Shree Cement​ Ltd | Trade | HR SATROD (HSR) RSD
1000 | 10 | 3842 | Shree Cement​ Ltd | Trade | PB CHANDIGARH TR RSD
1000 | 10 | 3843 | Shree Cement​ Ltd | Trade | PB CHANDIGARH NTR RSD
1000 | 10 | 3844 | Shree Cement​ Ltd | Trade | MP JABALPUR TR
1000 | 10 | 3845 | Shree Cement​ Ltd | Trade | BR ROSERA TR [VD]
1000 | 10 | 3846 | Shree Cement​ Ltd | Trade | MH TROMBAY- MAHUL TR
1000 | 10 | 3847 | Shree Cement​ Ltd | Trade | KA RAMANAGARA TR
1000 | 10 | 3848 | Shree Cement​ Ltd | Trade | WB KULSONA TR [VD]
1000 | 10 | 3849 | Shree Cement​ Ltd | Trade | WB VIDYANAGAR TR [VD]
1000 | 10 | 3850 | Shree Cement​ Ltd | Trade | MP NEEMUCH SOW
1000 | 10 | 3851 | Shree Cement​ Ltd | Trade | UP GAURIGANJ SC TR
1000 | 10 | 3853 | Shree Cement​ Ltd | Trade | HP KANGOO MANDI - NT
1000 | 10 | 3854 | Shree Cement​ Ltd | Trade | PB KHARAR TR
1000 | 10 | 3855 | Shree Cement​ Ltd | Trade | HP MEHATPUR UNA - TR
1000 | 10 | 3894 | Shree Cement​ Ltd | Trade | HR JIND TR
1000 | 10 | 3895 | Shree Cement​ Ltd | Trade | HR KAITHAL TR
1000 | 10 | 3897 | Shree Cement​ Ltd | Trade | MH AURANGABAD 1 TR
1000 | 10 | 3898 | Shree Cement​ Ltd | Trade | MH AURANGABAD 2 TR
1000 | 10 | 3899 | Shree Cement​ Ltd | Trade | RJ SAGWARA TR
1000 | 10 | 3900 | Shree Cement​ Ltd | Trade | MP BALAGHAT TR
1000 | 10 | 3901 | Shree Cement​ Ltd | Trade | PB RAJPURA SOW RAS
1000 | 10 | 3902 | Shree Cement​ Ltd | Trade | PB RAJPURA SOW NWL
1000 | 10 | 3905 | Shree Cement​ Ltd | Trade | PB MANSA TR
1000 | 10 | 3907 | Shree Cement​ Ltd | Trade | RJ CHANDAWAL TR
1000 | 10 | 3908 | Shree Cement​ Ltd | Trade | RJ RAMGARH TR
1000 | 10 | 3909 | Shree Cement​ Ltd | Trade | RJ CHIRAWA TR
1000 | 10 | 3910 | Shree Cement​ Ltd | Trade | WB COSSIMBAZAR RAJ TR
1000 | 10 | 3911 | Shree Cement​ Ltd | Trade | WB COSSIMBAZAR RAJ TR RSD
1000 | 10 | 3912 | Shree Cement​ Ltd | Trade | GJ RAJKOT TR
1000 | 10 | 3913 | Shree Cement​ Ltd | Trade | WB DHULIYAN TR
1000 | 10 | 3914 | Shree Cement​ Ltd | Trade | WB DHULIYAN TR RSD
1000 | 10 | 3915 | Shree Cement​ Ltd | Trade | RJ CHIRAWA TR
1000 | 10 | 3916 | Shree Cement​ Ltd | Trade | MH AKLUJ TR
1000 | 10 | 3918 | Shree Cement​ Ltd | Trade | MH KURDUWADI TR
1000 | 10 | 3919 | Shree Cement​ Ltd | Trade | WB DHULIYAN TR VD
1000 | 10 | 3924 | Shree Cement​ Ltd | Trade | MH BEED TR
1000 | 10 | 3925 | Shree Cement​ Ltd | Trade | MH AMBAJOGAI TR
1000 | 10 | 3926 | Shree Cement​ Ltd | Trade | MH BHOOM TR
1000 | 10 | 3927 | Shree Cement​ Ltd | Trade | MH OSMANABAD TR
1000 | 10 | 3928 | Shree Cement​ Ltd | Trade | MP SHIVPURI TR RSD
1000 | 10 | 3932 | Shree Cement​ Ltd | Trade | MP SHIVPURI TR
1000 | 10 | 3956 | Shree Cement​ Ltd | Trade | DL KOTLA TP
1000 | 10 | 3957 | Shree Cement​ Ltd | Trade | PB PATHANKOT SOW STH
1000 | 10 | 3958 | Shree Cement​ Ltd | Trade | PB PATHANKOT SOW RAS
1000 | 10 | 3959 | Shree Cement​ Ltd | Trade | PB PATHANKOT SOW NWL
1000 | 10 | 3960 | Shree Cement​ Ltd | Trade | UP GHAZIABAD TR
1000 | 10 | 3961 | Shree Cement​ Ltd | Trade | UP GHAZIABAD RSD
1000 | 10 | 3962 | Shree Cement​ Ltd | Trade | UP GHAZIABAD NT RSD
1000 | 10 | 3964 | Shree Cement​ Ltd | Trade | UP NOIDA TR
1000 | 10 | 3965 | Shree Cement​ Ltd | Trade | UP GHAZIABAD NT
1000 | 10 | 3966 | Shree Cement​ Ltd | Trade | UP GTR NOIDA TR
1000 | 10 | 3967 | Shree Cement​ Ltd | Trade | UP LONI TR
1000 | 10 | 3968 | Shree Cement​ Ltd | Trade | UP HAPUR TR
1000 | 10 | 3969 | Shree Cement​ Ltd | Trade | UP MEERUT TR
1000 | 10 | 3970 | Shree Cement​ Ltd | Trade | UP MEERUT TR RSD
1000 | 10 | 3971 | Shree Cement​ Ltd | Trade | UP MEERUT NT RSD
1000 | 10 | 3972 | Shree Cement​ Ltd | Trade | UP MEERUT NT
1000 | 10 | 3975 | Shree Cement​ Ltd | Trade | PB RAJPURA SOW STH
1000 | 10 | 3976 | Shree Cement​ Ltd | Trade | GJ VISNAGAR TR
1000 | 10 | 3977 | Shree Cement​ Ltd | Trade | PB MALOUT TR
1000 | 10 | 3978 | Shree Cement​ Ltd | Trade | PB RAIKOT SOW STH
1000 | 10 | 3979 | Shree Cement​ Ltd | Trade | PB RAIKOT SOW RAS
1000 | 10 | 3993 | Shree Cement​ Ltd | Trade | AP SRIKAKULAM TR
1000 | 10 | 3994 | Shree Cement​ Ltd | Trade | AP VIZIANAGARAM TR
1000 | 10 | 3995 | Shree Cement​ Ltd | Trade | PB MEHARBANPUR TR
1000 | 10 | 3996 | Shree Cement​ Ltd | Trade | AP NARSIPATNAM TR
1000 | 10 | 3998 | Shree Cement​ Ltd | Trade | MH AMBAD NSK TR
1000 | 10 | 3999 | Shree Cement​ Ltd | Trade | MH BARSHI TR
1000 | 10 | 4000 | Shree Cement​ Ltd | Trade | AP ADONI TR
1000 | 10 | 4001 | Shree Cement​ Ltd | Trade | AP VIJAYAWADA PIPE ROAD TR
1000 | 10 | 4002 | Shree Cement​ Ltd | Trade | AP KURNOOL BG TR
1000 | 10 | 4003 | Shree Cement​ Ltd | Trade | AP NELLORE TR
1000 | 10 | 4004 | Shree Cement​ Ltd | Trade | BR ANUGRAH NARAYAN BG TR RSD
1000 | 10 | 4005 | Shree Cement​ Ltd | Trade | BR AURAI SC TR
1000 | 10 | 4006 | Shree Cement​ Ltd | Trade | BR BARH BG TR VD
1000 | 10 | 4007 | Shree Cement​ Ltd | Trade | BR BATHNAHA (SUPAUL-I SC TR
1000 | 10 | 4008 | Shree Cement​ Ltd | Trade | BR BETTIAH SC TR
1000 | 10 | 4009 | Shree Cement​ Ltd | Trade | BR BHUPATI SC TR [VD]
1000 | 10 | 4010 | Shree Cement​ Ltd | Trade | BR BUXAR BG TR [VD]
1000 | 10 | 4011 | Shree Cement​ Ltd | Trade | BR CHAKIA SC TR
1000 | 10 | 4012 | Shree Cement​ Ltd | Trade | BR DARBHANGA SC TR
1000 | 10 | 4013 | Shree Cement​ Ltd | Trade | BR DEHRI SAND SC TR RSD
1000 | 10 | 4014 | Shree Cement​ Ltd | Trade | BR GAYA BG TR
1000 | 10 | 4015 | Shree Cement​ Ltd | Trade | BR KARPORIGRAM BG TR
1000 | 10 | 4016 | Shree Cement​ Ltd | Trade | BR KISHANGANJ SC TR
